
MAME GP2X GAMELIST (1128 romsets)

Name      Description
--------- -----------

005       "005"
1941      "1941 (World)"
1941j     "1941 (Japan)"
1942      "1942 (set 1)"
1942a     "1942 (set 2)"
1942b     "1942 (set 3)"
1943      "1943 (US)"
1943jap   "1943 (Japan)"
1943kai   "1943 Kai"
2020bb    "2020 Super Baseball"
280zzzap  "280-ZZZAP"
3countb   "3 Count Bout / Fire Suplex"
3stooges  "Three Stooges"
3wonderj  "Wonder 3 (Japan)"
3wonders  "Three Wonders (US)"
4dwarrio  "4D Warriors"
600       "600"
64street  "64th Street"
720       "720 Degrees (set 1)"
720b      "720 Degrees (set 2)"
aeroboto  "Aeroboto"
aerofgt   "Aero Fighters"
alexkidd  "Alex Kidd (bootleg)"
aliensyn  "Alien Syndrome"
alpham2   "Alpha Mission 2 / ASD Last Guardian 2"
alpine    "Alpine Ski (set 1)"
alpinea   "Alpine Ski (set 2)"
altbeast  "Altered Beast"
amidar    "Amidar (US)"
amidarjp  "Amidar (Japan)"
amidars   "Amidar (Scramble hardware)"
amigo     "Amigo"
androdun  "Andro Dunos"
anteater  "Ant Eater"
aodk      "Aggressors of Dark Kombat / Tougai Gan San"
aof2      "Art of Fighting 2 / Ryuu Ko No Ken 2"
aof3      "Art of Fighting 3 / Ryuu Ko No Ken 3"
apb       "APB (set 1)"
apb2      "APB (set 2)"
arabian   "Arabian"
ararmy    "Robo Army"
area88    "Area 88"
ark2us    "Arkanoid 2 - Revenge of DOH (Romstar)"
arkanoi2  "Arkanoid 2 - Revenge of DOH"
arkanoid  "Arkanoid (World)"
arkatayt  "Arkanoid (Tayto bootleg, Japanese)"
arkbl2    "Arkanoid (Japanese bootleg Set 2)"
arknoidu  "Arkanoid (USA)"
armorca2  "Armored Car (set 2)"
armorcar  "Armored Car (set 1)"
armwrest  "Arm Wrestling"
artfight  "Art of Fighting / Ryuu Ko No Ken"
aso       "ASO (Armored Scrum Object)"
astdelux  "Asteroids Deluxe (rev 2)"
asteroi1  "Asteroids (rev 1)"
asteroid  "Asteroids (rev 2)"
astinvad  "Astro Invader"
astlaser  "Astro Laser"
astormbl  "Alien Storm (bootleg)"
astrob    "Astro Blaster (version 2)"
astrob1   "Astro Blaster (version 1)"
astrof    "Astro Fighter"
astrof2   "Astro Fighter (set 2)"
astrof3   "Astro Fighter (set 3)"
atetckt2  "Tetris (Cocktail set 2)"
atetcktl  "Tetris (Cocktail set 1)"
atetris   "Tetris (set 1)"
atetrisa  "Tetris (set 2)"
atetrisb  "Tetris (bootleg)"
athena    "Athena"
atlantis  "Battle of Atlantis"
aurail    "Aurail (bootleg)"
avalnche  "Avalanche"
avenger2  "Avengers (set 2)"
avengers  "Avengers (set 1)"
avspirit  "Avenging Spirit"
baddudes  "Bad Dudes vs Dragonninja"
bagman    "Bagman"
bagmans   "Bagman (Stern set 1)"
bagmans2  "Bagman (Stern set 2)"
bandido   "Bandido"
bankp     "Bank Panic"
bbros     "Buster Bros (US)"
beastf    "Beastie Feastie (Pac Man hardware)"
bermudat  "Bermuda Triangle"
berzerk   "Berzerk"
berzerk1  "Berzerk (version 1)"
billiard  "The Billiards"
bioatack  "Bio Attack"
